sepal_length,sepal_width,petal_length,petal_width,species_id,species,sepal_area,petal_area
5.1,3.5,1.4,0.2,0,setosa,17.85,0.28
4.9,3.0,1.4,0.2,0,setosa,14.7,0.28
4.7,3.2,1.3,0.2,0,setosa,15.04,0.26
4.6,3.1,1.5,0.2,0,setosa,14.26,0.3
5.0,3.6,1.4,0.2,0,setosa,18.0,0.28
5.4,3.9,1.7,0.4,0,setosa,21.06,0.68
4.6,3.4,1.4,0.3,0,setosa,15.64,0.42
5.0,3.4,1.5,0.2,0,setosa,17.0,0.3
4.4,2.9,1.4,0.2,0,setosa,12.76,0.28
4.9,3.1,1.5,0.1,0,setosa,15.19,0.15
5.4,3.7,1.5,0.2,0,setosa,19.98,0.3
4.8,3.4,1.6,0.2,0,setosa,16.32,0.32
4.8,3.0,1.4,0.1,0,setosa,14.4,0.14
4.3,3.0,1.1,0.1,0,setosa,12.9,0.11
5.8,4.0,1.2,0.2,0,setosa,23.2,0.24
5.7,4.4,1.5,0.4,0,setosa,25.08,0.6
5.4,3.9,1.3,0.4,0,setosa,21.06,0.52
5.1,3.5,1.4,0.3,0,setosa,17.85,0.42
5.7,3.8,1.7,0.3,0,setosa,21.66,0.51
5.1,3.8,1.5,0.3,0,setosa,19.38,0.45
5.4,3.4,1.7,0.2,0,setosa,18.36,0.34
5.1,3.7,1.5,0.4,0,setosa,18.87,0.6
4.6,3.6,1.0,0.2,0,setosa,16.56,0.2
5.1,3.3,1.7,0.5,0,setosa,16.83,0.85
4.8,3.4,1.9,0.2,0,setosa,16.32,0.38
5.0,3.0,1.6,0.2,0,setosa,15.0,0.32
5.0,3.4,1.6,0.4,0,setosa,17.0,0.64
5.2,3.5,1.5,0.2,0,setosa,18.2,0.3
5.2,3.4,1.4,0.2,0,setosa,17.68,0.28
4.7,3.2,1.6,0.2,0,setosa,15.04,0.32
4.8,3.1,1.6,0.2,0,setosa,14.88,0.32
5.4,3.4,1.5,0.4,0,setosa,18.36,0.6
5.2,4.1,1.5,0.1,0,setosa,21.32,0.15
5.5,4.2,1.4,0.2,0,setosa,23.1,0.28
4.9,3.1,1.5,0.2,0,setosa,15.19,0.3
5.0,3.2,1.2,0.2,0,setosa,16.0,0.24
5.5,3.5,1.3,0.2,0,setosa,19.25,0.26
4.9,3.6,1.4,0.1,0,setosa,17.64,0.14
4.4,3.0,1.3,0.2,0,setosa,13.2,0.26
5.1,3.4,1.5,0.2,0,setosa,17.34,0.3
5.0,3.5,1.3,0.3,0,setosa,17.5,0.39
4.5,2.3,1.3,0.3,0,setosa,10.35,0.39
4.4,3.2,1.3,0.2,0,setosa,14.08,0.26
5.0,3.5,1.6,0.6,0,setosa,17.5,0.96
5.1,3.8,1.9,0.4,0,setosa,19.38,0.76
4.8,3.0,1.4,0.3,0,setosa,14.4,0.42
5.1,3.8,1.6,0.2,0,setosa,19.38,0.32
4.6,3.2,1.4,0.2,0,setosa,14.72,0.28
